text,value
اگر هم فکر ميکنين صبر کنين گوشي هاي Full HD بيان اشتباه ميکنيد!,-1
پورت هاي ميکروفون و هدفون و کنترل هاي شاتر هم روي دستگاه موجودند.,0
"بزرگترين اشتباه من خريد نسخه 3G بود،  چون با نسخه WIFI هيچ فرقي نداره!",-1
"در کل،  از نظر طراحی و کیفیت ساخت این تبلت می‌توان گفت که بسیار مناسب و رضایت بخش بود و ما را راضی نمود.",+2
..,0
بیشترین کاربرد این قلم در هنگام کار با برنامه Memo می‌باشد.,0
"معايب:ـ کيفيت دوربين آن،  اگر چه نسبت به اکثر دوربينهاي 5 مگا پيکسلي،  بهتر است اما در کل به نظر چندان رضايت بخش نمي آيد و داراي کيفيت متوسط است.",-1
"سلام
من اين گوشي رو 4 روزه که خريدم، در يک کلام بايد بگم با توجه به پولي که ميديد محشره، صفحه نمايش 4 اينچي با کيفيت فوق‌العاده بالا IPS LCD 480*800 ، سي پي يو دو هسته اي يک گيگا هرتزي، اندرويد 4.1 و از همه مهمتر باتري قدرتمند 1730 ميلي آمپري جاي هيچ شکي براي خريد اين گوشي نميذاره.",+2
آخری به خصوص برای گرفتن عکس‌های ماکرو که به فوکوس دقیق احتیاج دارند بسیار عالیست چرا که وسط نمایشگر هم بزرگنمایی ایجاد می‌شود.,+2
در کل در خريد اين دوربين شک نکنيد.,+1
اين لپ تاپ  اصلا براي کسايي که گيمر يا به اصطلاح خوره ي بازي هستند توصيه نمي کنم !,-1
"بدین ترتیب حتی می توان گفت که X-Pro1 می تواند جایگزینی بسیار مناسب و کوچک برای دوربین های DSLR عکاسان نجومی هم باشد،  چرا که کوچک و سبک بودن دوربین برای این نوع عکاسی یک امتیاز مثبت است.",+2
يک آندرويد بهينه شده توسط مهندسين گوگل نه شرکاي تجاري گوگل3.,0
"من خريدم ازش خيلي راضيم
",+2
برنامه های زیادی به صورت پیش فرض بر روی استایلیستیک قرار گرفته‌اند.,0
"با سلام
به غير از اندرويد جديدش و رم دو گيگي چيز قابل توجهي نداره مدل 7.7 اينچي که مال دوسال پيشه از اين خيلي سرتره سامسونگ داره پس رفت ميکنه",-1
قيمت بالا .,-1
باتری از اینکه باتری آیفون 5 از چه نوعی و چند میلی آمپری است اطلاعات موثقی وجود ندارد.,0
پس بهتره ايرادات اين مدل رو هم مرور کنيم:1-هيچ توجه کردين اين لپ تاپ CD و DVD درايو نداره !,-1
به طوری که ماونت لنزی کاملا جدید و همچنین لنزهایی متفاوت برای آن ساخته شده اند.,+1
با اين لپ تاپ کار کردم عاليه.,+2
ابعاد این گوشی 65×128 میلی متر است که 9.2 میلی متر نیز ضخامت دارد.,0
بسيار زيبا و کارامد,+2
""" و هنگامی که با این لپ‌تاپ کار می‌کنید،  به راحتی این موضوع را متوجه خواهید شد.",+1
"نرم افزار به طور پیش فرض Retina MacBook Pro از سیستم عامل OS X نسخه Lion استفاده می‌کند ولی اپل به خریداران این لپ‌تاپ،  امکان ارتقا به Mountain Lion را به صورت رایگان فراهم کرده است.",+1
سیستم عامل نیز در این زمینه هیچ مانعی برای لذت بردن از گشت و گذار در دنیای اینترنت ایجاد نمی‌نماید.,+1
مرورگري اينترنت با اين گوشي از آب خوردن هم آسان تر است (به لطف تراکم پيکسلي فوق العاده!,+2
معايبي داره که وقتي‌ به آندرويد ۴ ارتقأش بدين همش رفع ميشه!,+1
سونی از اینترفیس خود بر روی آن استفاده کرده و نمی‌دانیم چرا این قدر سعی داشته که آن را به اندروید نسخه‌ی نان زنجبیلی شبیه کند!,-1
"البته در همین سمت،  کانکتور مخصوص اتصال گوشی به داک نیز به چشم می‌خورد.",0
جاي قلم نداره پس داشتنشو فراموش کنيد.,-1
این نوع نمایشگرهای چرخنده خیلی کارآمدتر از مدل هایی هستند که فقط به بالا و پایین چرخش می نمایند.,+2
"کیفیت پرینت در هر دو رزولوشنی که گفتیم،  خیلی خوب است و رنگ مشکی کاملا مشخص و غلیظ می‌باشد.",+2
دوستان عزيز بايد هنگام مقايسه دو تا محصول به فاکتورها و ويژگي هاي آن توجه کنند.,0
"شاید تنها نقطه ضعف این تبلت،  کیفیت عکاسی ضعیف آن باشد ولی باید این موضوع را هم در نظر بگیرید که در کل دوربین های عکاسی بر روی تبلت ها،  کاربرد فراوانی ندارند.",-1
به علاوه این تبلت به طور پیش فرض از سیستم عامل اندروید 4.0 استفاده می‌کند که بسیار روان‌تر و بهینه تر از نسخه های پیشین است.,+2
دور تا دور این دستگاه را یک لایه آلومینیومی قرمز رنگ فرا گرفته که بسیار زیبا و شکیل است.,+2
به هر حال من فکر مي کنم کمپاني اپل از تمام کمپاني هاي حال حاظر جهان به شخصيت کاربرانش بيشتر اهميت مي ده.,+1
کمي هم تيونر داخليش کنده و کانال ها رو دير عوض ميکنه.,-1
۰۴,0
دوام باتريش مي تونست بيشتر از اين باشه.,0
"واقعا تبلت فوق العاده ايست
کار کردن باهاش خيلي لذت بخشه
هرچند کيفيت S AMOLED هاي سامسونگ رو نداره ولي خب روشنايي خوبي داره کيفيتش هم خيلي خوبه
جنس بدنه هم با اينکه پلاستيکه ولي خيلي استحکام داره
دليل ارزونيش هم همين محدوديت هاي سخت افزاري هست که داره",+2
؟,0
در کل ميشه گفت لپ تاپ خيلي خوبيه و آدم رو حداقل واسه دو سه سال ساپورت ميکنه.,+2
"نسل جديد کنسول‌هاي بازي که در حال حاضر آخرين نسل از کنسول‌هاي موجود در بازار هستند،  ابتدا در سال ۲۰۰۵ ميلادي توسط مايکروسافت ارائه شدند.",0
"همان طور که میدانید پرینترها،  اسکنرها و دستگاه های فکس و کپی جزو دستگاه‌هایی هستند که امروزه به عنوان یکی از وسایل خروجی یا ورودی اطلاعات کامپیوتر مورد استفاده قرار می‌گیرد.",0
"به طور خلاصه،  بلندی صدای بلندگوی iPod Touch نسل پنجم رضایت بخش است ولی کیفیت صدا و همچنین میزان صدای بیس کمی پایین‌تر از حد انتظار ما بود.",-1
در نگاه اول پايين بودن مقدار حافظه رم و فقدان دوربين دوم براي مکالمات ويدئويي به چشم ميخوره.,-1
"• طراحی و ساخت از لحاظ طراحی،  iPod Touch نسل پنجم نیز همانند گوشی iPhone 5،  نسبت به مدل قبلی کشیده تر شده است.",0
سلام به همتون.,0
سبک و زيبا فقط 100 گرم3.,+1
"• صفحه نمایش و بلندگوها با توجه به اینکه E1-531 لپ‌تاپ‌های خیلی گران قیمتی محسوب نمی‌شود،  اصلا جای تعجب ندارد که Acer از صفحات نمایشی با رزلوشن های استاندارد در آن‌ها استفاده کرده است.",0
"اين مدل از دو هسته اي ها،  به مراتب از چهار هسته اي هاي موجود فعلي،  بهتر بازدهي داره (از اين مدل در Lumia 920 هم استفاده شده)اما چيزي که هميشه مهم بوده و هست،  عملکرد مناسب سخت افزار،  با بهره گيري از يک نرم افزار مناسبه :يعني تا يک نرم افزار (سيستم عامل) خوب نداشته باشيم،  از ""هسته ها"" به درستي استفاده نميشه.",0
مات بودن رنگ این دستگاه باعث می‌شود که هنگام کار با آن اثر انگشتتان رویش نماند و گرد و خاک بر رویش مشاهده نشود.,0
برنامه‌های کاربردی برای سرگرمی کودکان - Kids سامسونگ سرگرمی‌های خانگی را با برنامه‌های سرگرم کننده و مفید آموزشی ترکیب می‌کند.,0
کيفيت صفحش عاليه.,+2
عدم وجود فيلتر هوا و کنترل مناسب براي ميکروفون .,-1
حرف آخر مثل نظر تمامي دوستان ري در اين رنج قيمت بهترين انتخاب هست.,+1
همچنین رنگ‌ها بسیار زنده و طبیعی هستند و به سختی می‌توان پیکسل‌های تصویر را از یکدیگر تشخیص داد.,+2
در حقيقت اين درايو نوري از لرزش و نويز نسبتا بالايي در هنگام فعاليت برخوردار بود.,-1
اين پرينتر فوق العاده است.,+2
مهم‌ترين برتري ميان‌افزار درايوهاي Samsung در حال حاضر اين است که به شما اجازه مي‌دهد از دي وي دي معمولي نيز براي اجراي بازي‌ها استفاده کنيد.,+1
"در نوع خودش تبلت خوبيه
",+1
من اين لپ تاپ رو دو هفته است که خريدم قبل از اينکه بخرم راجبش خيلي تحقيق کردم و از بين msi cx61 و asus k45vd  اينو انتخاب کردم :hp 4540-a (از ديجي کالا هم ممنونم خيلي کمکم کرد) .,+1
کاش full HD  بود,-1
درون جعبه ای که ما به نقد و بررسی آن پرداختیم حتی هندزفری هم وجود نداشت.,-1
"اکنون مانند گلکسي اس پلاس که در سال گذشته معرفي شد و نسخه بهبود يافته اولين نسل گلکسي بود،  امروز سامسونگ گوشي گلکسي اس 2 پلاس را که نسخه بهبود داده شده گلکسي اس 2 است و سيستم عامل جديد به همراه پردازشگر جديدي را بر روي خود دارد معرفي کرد.",+1
"در کل بايد گفت که :
Its the best choice.",0
اما ساخت این تبلت تفاوت خاصی نکرده و جنس پلاستیکی بدنه در این تبلت هم تکرار گشته است.,-1
کيبوردش عاليه.,+2
"این قلم نه از نظر ظاهری و نه از لحاظ کارایی، شباهت زیادی به قلم Note های سامسونگ ندارد و بیشتر می‌توان آن‌را یک قلم کمکی نامید که در کار با گوشی به کاربر کمک می‌نماید اما قابلیت‌های فوق‌العاده‌ای ندارد.",-1
خيلي خوبه,+2
دست کم می‌توانست از ویژگی Tap Control دوربین‌های المپوس بهره ببرد تا با زدن ضربه به دوربین می‌توانستیم بعضی عملکردهای آن را کنترل کنیم.,0
"برای علاقه‌مندان به عکاسی دستگاه های به مراتب کوچکتر،  سبک‌تر و صد البته با کیفیت‌تری وجود دارد.",0
من که به شدت به خانواده نکسوس علاقه دارم .,+1
"تصاویر گرفته شده با دوربین این گوشی از کیفیت بسیار بالایی برخوردارند، جزئیات بسیار دقیق بوده، نویز تصاویر کم بوده و رنگ‌های تولید شده بسیار طبیعی هستند.",+2
"این رزولوشن،  باعث می‌گردد تراکم پیکسلی این صفحه نمایش 226ppi باشد که بسیار مناسب است.",+2
"با سلام،  با اينکه بنده از طرفدارهاي پر و پا قرص اچ پي چه در زمينه سرور و چه لپتاپ بودم و از تمام خريدهاي اچ پي که داشتم راضي بودم اين لپ تاپ رو يکي از بدترين محصولات اين شرکت ديدم در زمينه طراحي، اگر چه بدنه شکيل و آلمينيوميش در نگاه اول جذاب بنظر مياد اما ايرادات طراحي بد ترکپدش که هر بار کليک کردن دکمه باعث برخورد با لبه فلزي قسمت پايين ترکپد ميشه،  نبود چراغ هاي نمايش خاموش روشن،  شارژ،  وايرلس در لبه بيروني،  بطوري که اگه درب لپ تاپ بسته باشه شما عملا نميتونيد ببينيد لپ تاپ روشنه يا خاموش،  قرار دادن چراغ در بالاي درگاه شارژ که هر براي ديدن وضعيتش بايد يا خودتون خم بشيد يا لپ تاتون رو خم کنيد!",-2
دوستان من يک ماه قبل اين دوربين را خريدم و بعد از دو روز ان را با ضرر فروختم .,-1
من اس۳ ميخواستم ولى رم۱ واسم کم بود.,0
این رزولوشن تراکم پیکسلی 187ppi را تولید می‌نماید که تراکم پیکسلی بسیار پایینی است.,-2
"مزايا :
- دوربين فوق العاده .",+2
"ما منتظر بوديم که ببينيم اپل بهترين گوشيو توليد کنه ،  اصلا به صرفه نيست و به پاي S III هم نميرسه اپل ديگه فقط رو ظاهر گوشيهاش کار ميکنه تا سخت افزار .",-1
سياست تنوع محصولي که از طرف شرکت ايسوز که در قبل نيز شاهد آن بوديم ايجاد يک نوع بازار متنوع و يک نوع چالش براي خريدار است از اين رو در اين مدل به طور کاملا عمدي دست به حالتي زده که در آن عدم قابليت ارتقاع دستگاه به حافظه هاي بالاتر به چشم مي خورد.,-1
رنگ‌های تولید شده و روشنایی صفحه نمایش دستگاه بسیار بالاست و در مجموع می‌توان گفت که کیفیت صفحه نمایش iPod Touch بسیار بهتر از رقبای اصلی مانند Samsung Galaxy Player 5.0 است.,+2
سلام به دوستان.,0
دست اخر بايد گفت اين يک گوشي براي پيامک و چت است.,0
سرعت کلي گوشي بيشتر به نوع چيپست و سيستم عامل بستگي دارد که چيپست بسيار قدرتمند A6 با بهره گيري از سيستم عامل IOS6 سرعت بسيار زياد را ارائه ميدهد .,+2
بابا الايت به درد نمي خوره فقط اسم رد کرده.,-1
همچنین دقت عکس‌های گرفته شده 2448×3264 پیکسل می‌باشند.,0
يه مسئله ديگه اي هم که منو در مورد اين دستگاه آزار ميده همون رزولوشن پائين نمايش اونه که واقعا قابل حس هست .,-1
)که اگه چند ساعت با گوشي کار کنيد متوجه ميشيد که خيلي راحت ميشه از مشکلش چشم پوشي کرد.,0
"نسل جدید iPod Touch تنها 88 گرم وزن دارد که این میزان،  13 گرم سبک‌تر از مدل سال گذشته است.",+1
ابعاد این گوشی خیلی جمع و جور است که این نیز بر سادگی حمل و نقل آن می‌افزاید.,+1
البته به واقع رزولوشن صفحه نیز در کارهای عادی روزمره به چشم نمی‌آید و قابل گذشت است.,+1
باور کنيد دوستان با اين قيمت و اين امکانات فوق العادست,+2
باتری True HD یک باتری لیتیومی 1830 میلی آمپریست که به نظر می‌رسد برای این گوشی مقداری کم باشد.,-1
"این کمینه‌ی نسبت کانونی بسیار عالی،  به شما اجازه می‌دهد که بتوانید در شرایط نوری نزدیک به تاریکی هم با سرعت‌های شاتر بالاتر عکاسی کنید.",+2
cpuي آيفون 5 هيچ کمبودي ندارد.,+1
انگار سامسونگ خواسته با بزرگ کردن زيادي اين گوشي با صفحه نمايش کوچکتر يه جوري به اندازه گوشي نوت2 نزديکش کنه اما کمي ابعادش مناسبتر بود گوشي قابل قبولتري ميشد همينطور وزنش هم کمي زياده و ميتونست کمي سبکتر ساخته بشه ولي قابليت دو سيمکارته بودنش تو اين سطح خوبه,-1
خيلي خر تو خر شده!,-1
"مطمئن باشید هرگز از سطوحی که به آن متصل شده است،  جدا نخواهد شد.",+1
به علاوه این مرورگر اینترنت به کاربر این امکان را می‌دهد که صفحات اینترنتی مورد نظر را با دوستان خود از طریق SMS و شبکه های اجتماعی به اشتراک بگذارد.,0
۵٫ براي تشخيص اين‌که درايو کنسول شما کدام مدل مي‌باشد کافي ست درايو کنسول را eject کرده و به شکل قاب آن دقت کنيد.,0
بعد از شش ماه کار کردن با اين مدل مي‌تونم بگم که حرف نداره.,+2
"اگر جزو کسانی هستید که با گوشی خود زیاد ویدئو نگاه می‌کنید،  HTC One X Plus یکی از بهترین انتخاب‌ها برای شماست.",+1
"بنابراین اگر به دنبال یک نوت‌بوک مالتی مدیا 14 اینچی خیلی خوب هستید،  N43SM گزینه‌ی خیلی خوبی است.",+2
من رنگ آبيشو گرفتم اگه بتونم يه زردشم بگيرم خيلي جالب ميشه.,+1
منم بين Acro S و Ion مونده بودم.,0
سلام.,0
از ويندوزفون خوشم مياد و مدتي هم مدل هاي مختلف رو بررسي کردم ولي به نظرم اين مدل با اين قيمت توجيه اقتصادي ندارد.,0
"در نهايت بخاطر کيفيت فيلم‌برداري بهتر دوربين سوني ،  نمايشگر بزرگتر و بسيار با کيفيت‌تر اون و اينکه به روزتر و پيشرفته‌تره و امکانات بيشتري داره و همچنين بخاطر شکل ظاهر بهتر دوربين سوني , اين دوربين رو خريدم.",+2
دوربيني مناسب کار هاي معمولي است,+1
صفحه نمايش زير نور خورشيد تعريفي نداره و کار کردن باهاش سخت ميشه.,-1
ممنون از ديجي کالا از اطلاع رساني خوبش.,0
درگاه microUSB نیز در قسمت زیرین گوشی جای داده شده است.,0
"بر روی این نوت‌بوک‌ها می‌توانید کارت‌های گرافیکی AMD Radeon سری 5000،  6000 و 7000 و یا NVIDIA GeForce سری GT 500M و GT 600M را بیابید.",0
دقت صفحه نمایش با توجه به مدل مربوطه متفاوت است ولی همه مدل‌ها از رزولوشن استاندارد و بالایی استفاده می‌کنند.,+1
"از معايبش، صداي کم بلندگوي خارجي و کيفيت پايين صفحه نمايش زير نور آفتابه.",-1
اپل 5 نوع کارت گرافيکي قدرتمند سه هسته اي داره که تو نوع خودش بي نظيره و همچنين مدل سي پي يو واقعا عاليه.,+2
Xbox 360 Slim با ظرفیت های مختلفی به بازار عرضه شده است.,0
این دوربین توانایی ضبط ویدیویی بسیار با کیفیت Full HD با سرعت 30 فریم بر ثانیه و  HD با سرعت 60 فریم بر ثانیه را دارد.,+2
از طرفی فیلم‌های گرفته شده با دوربین این گوشی در کیفیت HD 720p با سرعت 30 فریم بر ثانیه بسیار روان هستند و کیفیت قابل قبولی دارد.,+1
تنها ايرادش دوربين ضعيفش هست که با اينکه 8 مگاپيکسله و سنسور exmor داره اما کيفيت عکسش درحد همون کا750 بيشتر نيست!,-1
"سلام 
گوشيه خوبي ميتونه باشه اما نسبت به قيمتش نمي ارزه،  خواهشا دوستان تعصبي قضاوت نکنين
نگين که از گوشيه .",-1
بايد اونو بگيريد توي دستتون تا بفهميد چقدر فوق العادست.,+2
اکس باکس تنها جايي است که مي توانيد از بازي هاي Halo3 .,0
در ایزو 800 اوضاع بدتر می‌گردد.,-1
ممنون از ديجي کالا که ايفون 5 رو با قيمت نجومي روي سايت نياورده..,0
تاکنون نقدی برای اين محصول درج نشده است.,0
"روشنایی صفحه نمایش بسیار خوب و قابل تقدیر است،  به طوری که به راحتی در زیر نور مستقیم آفتاب و در شرایط نوری قوی نیز می‌توان با آن کار کرد.",+2
بايد گفت از دست سوني در رفتهآويس,0
دوم اينکه اگر هارد بر اثر مجاورت با يک منبع گرمايي مانند گيرنده هاي ديجيتال بيش ازحد گرم بشه به طور اتوماتيک خودش از کار ميفته و از سوختن و گرماي بيشتر جلوگيري ميکنه.,+1
با استفاده از پورت و کابل HDMI نیز می‌توانید دوربین را به تلویزیون‌های دیجیتال وصل کنید تا با کیفیت خیلی بالا تصاویر را شاهد باشید.,+2
وقتي هنوز قيمتش معلوم نيست نميشه در مقايسه با ساير کالاها نظر داد,0
من نزديک 1 ساله اين گوشي رو دارم و واقعاً محشره (البته اگه اندرويد 4 رو روش نصب کنيد که ديگه فوق‌العاده ميشه !,+2
معايب نوکيا 500 خيلي آزاردهنده است.,-2
مشخصه‌ Partial Delete به شما امکان می‌دهد قسمتی از یک فایل ویدیویی را به صورت یک فایل جدید ذخیره کنید.,0
"با پشتیبانی این گوشی از راه های مختلف ارتباط با شبکه جهانی اینترنت  از جمله 3G،  GPRS،  Edge و سرآمد همه آن‌ها Wi-Fi،  امکان مرورگری اینترنت نیز بر روی این گوشی با سرعت بالا فراهم است.",+1
باتريش که زود شارژ ميشه و حداقل 4 روز کار ميکنه که با اون ابعاد واقعا فوق العاده است.,+2
"با سلام 
بنده بعد از يک هفته تحقيق اين گوشي رو خريدم .",0
"همچنین باید هنگام خرید این دستگاه به این موضوع دقت داشته باشید که اگر سرعت پرینت برای شما مهم باشد،  باید قید این دستگاه را زده و به سراغ مدل‌های بالاتر این دستگاه از جمله Pixma MX894 بروید و اگر سرعت برای شما بسیار مهم باشد و این مدل‌ها نتواند پاسخگوی شما باشد باید به سراغ پرینترهای مخصوص و سرعت بالا و البته شاید لیزری بروید.",0
"از آن جایی که برخلاف بسیاری از مدل‌های سطح بالاتر موتور Bravia نیز بر روی آن وجود ندارد،  بنابراین در تماشای فیلم و عکس‌ها هم نمی‌توانید از آن شفافیت خیره کننده لذت ببرید.",-1
"در کل،  اگر از طرفداران ثابت iOS باشید،  استفاده از این نسخه چندان شما را شگفت زده نخواهد نمود.",0
کلا بسيار گوشي جمع و جور و خوش دستي هست!,+1
"همانند مدل‌های پیشین،  FT3 هم ظاهری کاملا نا ظریف دارد که در کف دست کاملا محکم احساس می‌شود.",-2
من در يک جمع بندي کلي اينو مي تونم بهتون بگم که با توجه به پولي که بابت خريد اين گوشي پرداخت مي کنيد اصلا پشيمون نخواهيد شد و کلا گوشي با ارزشيه.,+1
"من تست کردم با نرم افزار سندرا،  دماي سي پي يو گاهي اوقات راحت تا 90 درجه هم ميره !",0
"فقط يه خورده نميتونه فيلماي اچ دي رو پخش کنه
5.صداش عاليه هم با هندزفري هم بدون هندزفري(داخل جعبه اش هندزفري نداره)
و.",+1
قسمتي از مشکل اين است که کمکي براي فوکوس دستي وجود ندارد يعني به عنوان مثال اشيا براي کنترل بهتر فوکوس بزرگ نمي شوند.,-1
"سلام

دوستان اين مدل مشکل کار کرد همزمان 3G رو Wifi داره

سيم کارت که تو دستگاه باشه Wifi از کار مي افته",-1
"اکنون سعی می‌کنیم که بررسی اجمالی بر روی این دوربین داشته باشیم و پس از آمدن آن به بازار،  نقد کاملی با تست کیفیت عکس های آن ارایه خواهیم داد.",0
"وزنشون خيلي فرقي نداره (2 گرم اينفينتي سبک تره  )در مورد دوربين حرفي ندارم چون هر دو براي من يکي هستند، به نظره من کسي براي دوربين نميره تبلت بخره !",0
جالب اينه بعد از من 3 نفر از بچه هاي دانشگاه رفتن بدون ترديد خريدنش.,0
همانگونه که ميدانيد شرکت مايکرو سافت از همان فناوري HD DVD براي کنسول x box360 خود استفاده ميکند که معمولا 9 GB ظرفيت دارد و اين در مقابل کنسول رقيب ps3 که از فناوري نوين بلو-ري بهره ميبرد و ظرفيت بسيار بالايي دارد يک نقطه ضعف به شمار ميرود.,-1
"حالت اول سختی‌های خاص خودش را دارد،  و حالت دوم باعث می‌گردد که همه‌ی کسانی که در نزدیکی شما قرار دارند کل مکالمه شما را بشنوند.",0
اين موضوع براي محصولات ديگه اين کمپاني هم صادقه که با ظاهر سازي جلب نظر ميکنه تا چشم شما رو به يک سري واقعيات ببنده و نمونه ي بارزش هم ميشه به استفاده از پردازنده ي گرافيکي PowerVr SGX535 روي يک گوشي با سي پي يو 800مگا هرتزي(iPhone 3GS)اشاره کرد که بتونه با توان گرافيکي بالاي خودش بازي هاي پر گرافيک و محيط پر زرق و برق iOS رو به راحتي اجرا کنه و هم چنين آي پد جديد که ميشه گفت  غير از  رزولوشن و پردازنده ي گرافيکي که مجبور به ساپورت و رندر اين رزولوشن بالاست هيچ چيزي نداره.,-1
اونم اينست که صفحش کوچيکه.,-1
واقعا ارزش نداره .,-1
تو گرافيک از ps3 کم نمياره و حتي در بعضي جاها بهتر عمل مي کنه (البته با توجه به تجربه ي شخصي خودم).,+1
"من مدت هاست4sدارم،  واقعا اينکه ميگن مشتريان اپل بهش وفادارند راسته، من ديگه هرکاري ميکنم نميتونم از آيفونم جدا بشم، قدرت، کيفيت ساخت بدنه، صفحه نمايش بي نظير، سيستم عامل بي رقيب، هيجان اپليکيشنهاي فوق العاده و.",+2
خيلي لپ تاپ خوبيه بهتون پيشنهاد مي کنم که بخريد من ازش دارم و راضي هستم,+2
فيلم و ضبط صداشم فوق‌العاده است.,+2
"FT3،  نسل سوم از دوربین‌های کامپکت مقاوم شرکت پاناسونیک می‌باشد که پس از دوربین‌های FT1 و FT2 به بازار آمده است.",+1
بطور قطع هر روز نياز به شارژ مجدد داريد حتي اگر از گوشي استفاده زيادي نکنين متاسفانه اگه بخواين از اينترنت ( ديتا يا واي فاي ) استفاده کنين روزي 3 دفعه بايد گوشي شارژر کامل بشه .,-1
قاب نقره ای رنگ موجود در اطراف بدنه یکی از اصلی‌ترین فاکتورهایی است که این گوشی را شبیه به نوت نموده است.,0
"سلام ،  حدود يکسال هست که دارم،  بعد از اولين شارژ کيفيتش خيلي اومد پايين،   ",-2
• نرم افزار سیستم عامل منتخب سامسونگ برای این تبلت نسخه 4.1.2 از سیستم عامل اندروید است.,0
سلام من يک هفته هست که اين لپ تاب رو خريدم همه چيزش عاليه و بهترين نکته آن صفحه نمايش ضد انعکاس نور هست که واقعا عاليه,+2
و در نهایت قطر اعجاب انگیز آن که تنها 7.6 میلی متر می‌باشد.,+1
"جنس براق و کاملا صیقلی بدنه،  بسیار چشم نواز است.",+2
به نظر من تنها مشکلش وايد کم اونه که بايد يه لنز وايد بخريد اما يه کم گرونه .,-1
راستي باتري Ion هم علاوه بر صفحه بزرگ و بسيار با کيفيتش خيلي خوب جواب ميده و اگه استفاده معمولي داشته باشيد تا يه روز و نيم راحت جواب ميده .,+2
خوب طبق معمول تو ايران کاربرد آنچناني ندارد چون مردم ايران دنبال اين نوع تنوع گرايي ها نيستند ولي به نظر من کاربرد خواهد داشت.,0
